contig,candidat,start,stop,depth,border,nb,nb,nb,filter,lcontig,Candidat,lCd,Critere_lCd,DPratio,Critere_DP,RI,Critere_RI,JC,Critere_JC
AT1G30060.1.modif|104|201,AT1G30060.1.modif,104,201,17,GT_AG,15.7,1.0,14.3,PASS,629,True,97,lCd,0.0333333,DP,0.154213,RI,1,Junctions
AT1G31050.7.modif|2134|2238,AT1G31050.7.modif,2134,2238,5,GT_AG,2.7,0.02857142857142857,4.0,PASS,2457,True,104,lCd,0.00426439,DP,0.042328,RI,1,Junctions
AT1G32270.2.modif|1229|1544,AT1G32270.2.modif,1229,1544,169,GT_AG,147.3,2.0,164.9,PASS,2110,True,315,lCd,0.00640615,DP,0.149289,RI,1,Junctions
AT1G34640.1.modif|359|747,AT1G34640.1.modif,359,747,598,GT_AG,461.1,1.0,523.8,PASS,992,True,388,lCd,0.00101533,DP,0.391129,RI,1,Junctions
AT1G40104.1|505|681,AT1G40104.1,505,681,3,GT_AG,13.2,13.711864406779661,19.0,RDP,1857,False,176,lCd,0.425834,DP,0.0947765,RI,1,Junctions
AT1G40104.1|1039|1539,AT1G40104.1,1039,1539,4,GT_AG,19.6,13.942115768463074,12.5,RDP,1857,False,500,lCd,0.434334,DP,0.269251,RI,1,Junctions
AT1G40104.1|1108|1608,AT1G40104.1,1108,1608,6,GT_AG,16.7,13.1437125748503,16.6,RDP,1857,False,500,lCd,0.394706,DP,0.269251,RI,1,Junctions
AT1G40104.1|1204|1704,AT1G40104.1,1204,1704,4,GT_AG,14.3,13.099800399201596,12.4,RDP,1857,False,500,lCd,0.490629,DP,0.269251,RI,1,Junctions
AT1G40104.1|1279|1608,AT1G40104.1,1279,1608,2,GT_AG,14.9,13.263636363636364,16.6,RDP,1857,False,329,lCd,0.421068,DP,0.177167,RI,1,Junctions
AT1G48950.1.modif|293|543,AT1G48950.1.modif,293,543,16,GT_AG,14.3,0.01195219123505976,15.2,PASS,3010,True,250,lCd,0.000405159,DP,0.0830565,RI,1,Junctions
AT1G51590.2.modif|1479|1556,AT1G51590.2.modif,1479,1556,97,GT_AG,83.7,2.0256410256410255,101.2,PASS,2278,True,77,lCd,0.0109553,DP,0.0338016,RI,1,Junctions
AT1G55880.2.modif|224|332,AT1G55880.2.modif,224,332,273,GT_AG,219.1,2.0,260.9,PASS,1960,True,108,lCd,0.00416667,DP,0.055102,RI,1,Junctions
AT1G55880.2.modif|552|646,AT1G55880.2.modif,552,646,326,GT_AG,267.5,1.0210526315789474,307.8,PASS,1960,True,94,lCd,0.00177482,DP,0.0479592,RI,1,Junctions
AT1G58220.1|1606|1749,AT1G58220.1,1606,1749,1,GT_AG,36.8,34.46527777777778,42.8,RDP,2947,False,143,lCd,0.432981,DP,0.0485239,RI,1,Junctions
AT1G58220.1|1730|1864,AT1G58220.1,1730,1864,1,GT_AG,36.0,42.54814814814815,34.9,RDP,2947,False,134,lCd,0.600115,DP,0.04547,RI,1,Junctions
AT1G60970.1.modif|153|540,AT1G60970.1.modif,153,540,26,GT_AG,22.8,1.0,23.1,PASS,1373,True,387,lCd,0.0217865,DP,0.281865,RI,1,Junctions
AT1G65720.1|936|1026,AT1G65720.1,936,1026,2,GT_AG,67.5,58.78021978021978,55.3,RDP,1422,False,90,lCd,0.478666,DP,0.0632911,RI,1,Junctions
AT1G69070.1|414|2044,AT1G69070.1,414,2044,1,GT_AG,98.6,138.55916615573267,136.7,RDP,2968,False,1630,lCd,0.588862,DP,0.549191,RI,1,Junctions
AT1G69070.1|539|1153,AT1G69070.1,539,1153,1,GT_AG,111.6,119.09756097560975,164.1,RDP,2968,False,614,lCd,0.431982,DP,0.206873,RI,1,Junctions
AT1G69070.1.modif|715|806,AT1G69070.1.modif,715,806,204,GT_AG,169.9,1.0,200.5,PASS,3239,True,91,lCd,0.00269978,DP,0.0280951,RI,1,Junctions
AT1G69070.1.modif|867|954,AT1G69070.1.modif,867,954,185,GT_AG,214.6,1.0113636363636365,241.6,PASS,3239,True,87,lCd,0.00221693,DP,0.0268601,RI,1,Junctions
AT1G69070.1.modif|2490|2580,AT1G69070.1.modif,2490,2580,256,GT_AG,214.3,1.0,245.6,PASS,3239,True,90,lCd,0.00217439,DP,0.0277864,RI,1,Junctions
AT1G71190.1.modif|1029|1120,AT1G71190.1.modif,1029,1120,75,GT_AG,57.4,0.03260869565217391,67.9,PASS,1402,True,91,lCd,0.000260245,DP,0.0649073,RI,1,Junctions
AT1G73610.1.modif|936|1020,AT1G73610.1.modif,936,1020,72,GT_AG,63.0,1.0,71.9,PASS,1437,True,84,lCd,0.0074129,DP,0.0584551,RI,1,Junctions
AT1G78070.1.modif|586|1844,AT1G78070.1.modif,586,1844,60,GT_AG,50.0,2.0,57.3,PASS,3431,True,1258,lCd,0.0186393,DP,0.366657,RI,1,Junctions
AT1G79020.1.modif|1234|1326,AT1G79020.1.modif,1234,1326,59,GT_AG,53.3,0.021505376344086023,59.8,PASS,2227,True,92,lCd,0.000190145,DP,0.0413112,RI,1,Junctions
AT5G06645.1|206|505,AT5G06645.1,206,505,1,CT_AC,16.9,12.81,29.0,RDP,617,False,299,lCd,0.279085,DP,0.484603,RI,1,Junctions
AT5G06645.1|281|505,AT5G06645.1,281,505,1,CT_AC,8.3,12.782222222222222,29.0,RDP,617,False,224,lCd,0.342687,DP,0.363047,RI,1,Junctions
AT5G06645.1|344|494,AT5G06645.1,344,494,1,CT_AC,12.9,12.701986754966887,22.4,RDP,617,False,150,lCd,0.35983,DP,0.243112,RI,1,Junctions
AT5G10745.1|162|771,AT5G10745.1,162,771,1,CT_AC,7834.9,7914.47868852459,7697.9,RDP,1939,False,609,lCd,0.509533,DP,0.314079,RI,1,Junctions
AT5G10745.1|203|857,AT5G10745.1,203,857,1,CT_AC,7838.9,7912.143511450382,7699.3,RDP,1939,False,654,lCd,0.509206,DP,0.337287,RI,1,Junctions
AT5G10745.1|412|1612,AT5G10745.1,412,1612,1,GT_AG,7804.8,7915.1065778517905,7732.0,RDP,1939,False,1200,lCd,0.509443,DP,0.618876,RI,1,Junctions
AT5G10745.1|701|1612,AT5G10745.1,701,1612,1,GT_AG,7724.5,7914.651315789473,7732.0,RDP,1939,False,911,lCd,0.51206,DP,0.46983,RI,1,Junctions
AT5G10745.1|739|771,AT5G10745.1,739,771,5,CT_AC,7729.0,7756.454545454545,7697.9,RDP,1939,False,32,lCd,0.502788,DP,0.0165034,RI,1,Junctions
AT5G10745.1|811|1174,AT5G10745.1,811,1174,1,GT_AG,7698.7,7908.64010989011,7621.3,RDP,1939,False,363,lCd,0.51623,DP,0.18721,RI,1,Junctions
AT5G15537.2.modif|1111|1400,AT5G15537.2.modif,1111,1400,78,GT_AG,69.1,1.0,75.3,PASS,2719,True,289,lCd,0.00692521,DP,0.106289,RI,1,Junctions
AT5G15537.2.modif|1437|1969,AT5G15537.2.modif,1437,1969,34,GT_AG,78.4,2.0,87.8,PASS,2719,True,532,lCd,0.0120337,DP,0.19566,RI,1,Junctions
AT5G19400.2|2360|2455,AT5G19400.2,2360,2455,1,GT_AG,5.5,3.21875,5.1,RDP,3873,False,95,lCd,0.303656,DP,0.0245288,RI,1,Junctions
AT5G24318.3.modif|1347|1423,AT5G24318.3.modif,1347,1423,27,GT_AG,23.3,1.0,27.9,PASS,2091,True,76,lCd,0.0195312,DP,0.0363462,RI,1,Junctions
AT5G27220.3|1608|3353,AT5G27220.3,1608,3353,1,CT_AC,1428.8,1292.0870561282932,779.7,RDP,3546,False,1745,lCd,0.585052,DP,0.492104,RI,1,Junctions
AT5G27220.3|1945|2605,AT5G27220.3,1945,2605,1,GT_AG,1410.4,1413.2934947049923,1427.0,RDP,3546,False,660,lCd,0.498095,DP,0.186125,RI,1,Junctions
AT5G28180.1.modif|835|936,AT5G28180.1.modif,835,936,292,GT_AG,240.4,1.0294117647058822,283.7,PASS,1161,True,101,lCd,0.00196415,DP,0.086994,RI,1,Junctions
AT5G35560.2.modif|1155|1360,AT5G35560.2.modif,1155,1360,28,GT_AG,24.5,2.0,28.6,PASS,3291,True,205,lCd,0.0376648,DP,0.0622911,RI,1,Junctions
AT5G37370.5.modif|1458|1576,AT5G37370.5.modif,1458,1576,1,GT_AG,61.0,60.621848739495796,78.6,RDP,4059,False,118,lCd,0.434254,DP,0.0290712,RI,1,Junctions
AT5G37370.10.modif|1350|1468,AT5G37370.10.modif,1350,1468,1,GT_AG,41.5,25.42016806722689,45.3,RDP,1695,True,118,lCd,0.292859,DP,0.0696165,RI,1,Junctions
AT5G39570.2|887|979,AT5G39570.2,887,979,7,GT_AG,47.6,39.344086021505376,30.4,RDP,1848,False,92,lCd,0.504411,DP,0.0497835,RI,1,Junctions
AT5G41610.3.modif|353|435,AT5G41610.3.modif,353,435,134,GT_AG,112.7,1.0,126.1,PASS,2857,True,82,lCd,0.0041876,DP,0.0287014,RI,1,Junctions
AT5G41770.1.modif|1302|1408,AT5G41770.1.modif,1302,1408,117,GT_AG,98.2,1.0,114.3,PASS,2769,True,106,lCd,0.00470588,DP,0.038281,RI,1,Junctions
AT5G42830.1.modif|548|717,AT5G42830.1.modif,548,717,8,GT_AG,6.6,0.011764705882352941,9.0,PASS,1838,True,169,lCd,0.000754148,DP,0.0919478,RI,1,Junctions
AT5G43710.3|1795|1876,AT5G43710.3,1795,1876,20,GT_AG,98.8,59.31707317073171,34.6,RDP,1918,False,81,lCd,0.444656,DP,0.0422315,RI,1,Junctions
AT5G44930.2.modif|793|890,AT5G44930.2.modif,793,890,616,GT_AG,522.3,5.0,595.0,PASS,1724,True,97,lCd,0.00447507,DP,0.0562645,RI,1,Junctions
AT5G45850.1.modif|1523|1622,AT5G45850.1.modif,1523,1622,778,GT_AG,650.3,4.0,745.1,PASS,1916,True,99,lCd,0.00286656,DP,0.0516701,RI,1,Junctions
AT5G48930.1.modif|552|688,AT5G48930.1.modif,552,688,13,GT_AG,10.4,1.0,12.3,PASS,1937,True,136,lCd,0.0440529,DP,0.0702117,RI,1,Junctions
AT5G52060.1.modif|1500|1587,AT5G52060.1.modif,1500,1587,9,GT_AG,10.1,0.011363636363636364,8.2,PASS,2385,True,87,lCd,0.000620964,DP,0.036478,RI,1,Junctions
AT5G53050.6.modif|577|659,AT5G53050.6.modif,577,659,19,GT_AG,17.2,1.0,19.4,PASS,1407,True,82,lCd,0.0273224,DP,0.05828,RI,1,Junctions
AT5G58240.3.modif|216|294,AT5G58240.3.modif,216,294,2,GT_AG,2.8,0.012658227848101266,2.0,PASS,851,True,78,lCd,0.00263713,DP,0.0916569,RI,1,Junctions
AT5G66210.1.modif|1143|1227,AT5G66210.1.modif,1143,1227,79,GT_AG,68.8,1.0,78.0,PASS,2386,True,84,lCd,0.00681199,DP,0.0352054,RI,1,Junctions
AT5G66600.8|1943|2032,AT5G66600.8,1943,2032,4,GT_AG,26.0,23.966666666666665,32.6,RDP,2661,False,89,lCd,0.408987,DP,0.0334461,RI,1,Junctions
AT5G66600.8|2159|2242,AT5G66600.8,2159,2242,6,GT_AG,31.6,24.892857142857142,30.9,RDP,2661,False,83,lCd,0.398286,DP,0.0311913,RI,1,Junctions
AT3G04940.2.modif|414|501,AT3G04940.2.modif,414,501,389,GT_AG,319.2,1.0,379.3,PASS,1519,True,87,lCd,0.00143164,DP,0.0572745,RI,1,Junctions
AT3G06580.1|273|1669,AT3G06580.1,273,1669,1,CT_AC,390.7,530.5955619183966,422.4,RDP,2012,False,1396,lCd,0.652559,DP,0.693837,RI,1,Junctions
AT3G09550.3.modif|1327|1420,AT3G09550.3.modif,1327,1420,14,GT_AG,8.8,1.0,11.6,PASS,2836,True,93,lCd,0.0490196,DP,0.0327927,RI,1,Junctions
AT3G20010.1|565|694,AT3G20010.1,565,694,1,CT_AC,43.3,52.01538461538462,63.7,RDP,3749,False,129,lCd,0.486125,DP,0.0344092,RI,1,Junctions
AT3G21340.1.modif|769|1077,AT3G21340.1.modif,769,1077,70,GT_AG,56.7,1.0129449838187703,65.8,PASS,3468,True,308,lCd,0.00826894,DP,0.088812,RI,1,Junctions
AT3G21340.1.modif|2822|2967,AT3G21340.1.modif,2822,2967,74,GT_AG,65.0,1.0068493150684932,73.3,PASS,3468,True,145,lCd,0.00728018,DP,0.0418108,RI,1,Junctions
AT3G23670.1.modif|2908|2991,AT3G23670.1.modif,2908,2991,17,GT_AG,15.2,2.0,17.2,PASS,4587,True,83,lCd,0.0617284,DP,0.0180946,RI,1,Junctions
AT3G23670.1.modif|2908|3513,AT3G23670.1.modif,2908,3513,1,GT_AG,15.2,7.912541254125412,6.8,RDP,4587,False,605,lCd,0.359661,DP,0.131894,RI,1,Junctions
AT3G24350.2.modif|842|1038,AT3G24350.2.modif,842,1038,75,GT_AG,60.2,2.0,70.7,PASS,1708,True,196,lCd,0.0152788,DP,0.114754,RI,1,Junctions
AT3G27670.1.modif|620|716,AT3G27670.1.modif,620,716,120,GT_AG,100.5,2.0,112.0,PASS,5999,True,96,lCd,0.00941176,DP,0.0160027,RI,1,Junctions
AT3G49070.2.modif|188|307,AT3G49070.2.modif,188,307,48,GT_AG,41.0,0.06666666666666667,49.9,PASS,1521,True,119,lCd,0.000733407,DP,0.078238,RI,1,Junctions
AT3G50180.1.modif|867|981,AT3G50180.1.modif,867,981,130,GT_AG,108.4,1.0,121.8,PASS,1884,True,114,lCd,0.00434405,DP,0.0605096,RI,1,Junctions
AT3G55646.1.modif|401|599,AT3G55646.1.modif,401,599,298,GT_AG,246.4,4.0,279.2,PASS,1307,True,198,lCd,0.00761035,DP,0.151492,RI,1,Junctions
AT3G58310.1.modif|443|658,AT3G58310.1.modif,443,658,356,GT_AG,298.9,1.0138888888888888,340.0,PASS,1271,True,215,lCd,0.00158693,DP,0.169158,RI,1,Junctions
AT3G60130.2.modif|57|124,AT3G60130.2.modif,57,124,10,GT_AG,8.4,0.04411764705882353,12.5,PASS,2102,True,67,lCd,0.00211089,DP,0.0318744,RI,1,Junctions
AT3G60130.2.modif|631|719,AT3G60130.2.modif,631,719,10,GT_AG,10.5,0.02247191011235955,11.0,PASS,2102,True,88,lCd,0.00104521,DP,0.0418649,RI,1,Junctions
AT3G62830.1.modif|1372|1464,AT3G62830.1.modif,1372,1464,40,GT_AG,35.1,1.0,39.4,PASS,2086,True,92,lCd,0.0134228,DP,0.0441035,RI,1,Junctions
AT2G14960.1.modif|550|693,AT2G14960.1.modif,550,693,32,GT_AG,26.9,0.020833333333333332,31.2,PASS,2384,True,143,lCd,0.000358577,DP,0.0599832,RI,1,Junctions
AT2G19280.1.modif|105|221,AT2G19280.1.modif,105,221,54,GT_AG,40.9,1.0,48.2,PASS,3579,True,116,lCd,0.0112233,DP,0.0324113,RI,1,Junctions
AT2G25360.1.modif|982|1065,AT2G25360.1.modif,982,1065,189,GT_AG,161.0,1.0,190.3,PASS,1513,True,83,lCd,0.00284657,DP,0.0548579,RI,1,Junctions
AT2G27090.1.modif|1958|2051,AT2G27090.1.modif,1958,2051,7,GT_AG,6.4,1.0,8.8,PASS,2979,True,93,lCd,0.0657895,DP,0.0312185,RI,1,Junctions
AT2G28290.3|8525|8728,AT2G28290.3,8525,8728,3,CT_AC,21.0,14.436274509803921,12.8,RDP,11030,False,203,lCd,0.427109,DP,0.0184044,RI,1,Junctions
AT2G28290.3|8729|8830,AT2G28290.3,8729,8830,5,CT_AC,13.4,12.07843137254902,15.8,RDP,11030,False,101,lCd,0.413645,DP,0.00915684,RI,1,Junctions
AT2G28620.2|311|1102,AT2G28620.2,311,1102,1,GT_AG,245.4,343.32575757575756,399.1,RDP,3620,False,791,lCd,0.532701,DP,0.218508,RI,1,Junctions
AT2G35060.1.modif|844|920,AT2G35060.1.modif,844,920,243,GT_AG,209.9,1.0,232.2,PASS,3151,True,76,lCd,0.00226193,DP,0.0241193,RI,1,Junctions
AT2G35060.1.modif|1647|1731,AT2G35060.1.modif,1647,1731,260,GT_AG,220.5,1.0,250.0,PASS,3151,True,84,lCd,0.0021254,DP,0.0266582,RI,1,Junctions
AT2G37150.7.modif|656|718,AT2G37150.7.modif,656,718,16,GT_AG,25.6,7.349206349206349,28.1,RDP,4894,False,62,lCd,0.136857,DP,0.0126686,RI,1,Junctions
AT2G37150.7.modif|865|2565,AT2G37150.7.modif,865,2565,2,GT_AG,23.0,18.479717813051145,52.1,RDP,4894,True,1700,lCd,0.246068,DP,0.347364,RI,1,Junctions
AT2G37150.7.modif|2394|2565,AT2G37150.7.modif,2394,2565,47,GT_AG,40.1,1.0,52.1,PASS,4894,False,171,lCd,0.010846,DP,0.0349407,RI,1,Junctions
AT2G37150.7.modif|3921|3997,AT2G37150.7.modif,3921,3997,31,GT_AG,25.6,1.0,28.1,PASS,4894,True,76,lCd,0.018622,DP,0.0155292,RI,1,Junctions
AT2G41100.1|120|386,AT2G41100.1,120,386,12,GT_AG,45.8,34.12734082397004,48.4,RDP,1252,False,266,lCd,0.362286,DP,0.21246,RI,1,Junctions
AT2G41100.1|299|565,AT2G41100.1,299,565,9,GT_AG,35.3,43.655430711610485,52.5,RDP,1252,False,266,lCd,0.497214,DP,0.21246,RI,1,Junctions
AT2G42170.4.modif|103|507,AT2G42170.4.modif,103,507,23,GT_AG,18.9,1.0,21.5,PASS,2679,True,404,lCd,0.0247525,DP,0.150803,RI,1,Junctions
AT2G42330.3.modif|131|248,AT2G42330.3.modif,131,248,5,GT_AG,5.9,0.15254237288135594,6.9,OI,2540,True,117,lCd,0.0119174,DP,0.046063,RI,1,Junctions
AT2G42640.4.modif|364|459,AT2G42640.4.modif,364,459,34,GT_AG,27.0,1.0,30.1,PASS,2594,True,95,lCd,0.0175131,DP,0.036623,RI,1,Junctions
AT2G46320.5.modif|277|528,AT2G46320.5.modif,277,528,11,GT_AG,9.4,0.011904761904761904,11.2,PASS,1684,True,251,lCd,0.000577901,DP,0.14905,RI,1,Junctions
AT4G03200.1|158|2647,AT4G03200.1,158,2647,1,CT_AC,392.8,652.5578313253012,387.3,RDP,2784,False,2489,lCd,0.836505,DP,0.894037,RI,1,Junctions
AT4G05320.5.modif|894|1121,AT4G05320.5.modif,894,1121,1,GT_AG,5.3,6.131578947368421,5.0,RDP,1964,False,227,lCd,0.595299,DP,0.11558,RI,1,Junctions
AT4G05320.5.modif|1072|1299,AT4G05320.5.modif,1072,1299,1,GT_AG,4.4,7.618421052631579,6.0,RDP,1964,False,227,lCd,0.73254,DP,0.11558,RI,1,Junctions
AT4G05320.5.modif|1300|1527,AT4G05320.5.modif,1300,1527,4,GT_AG,11.7,4.0131578947368425,11.7,RDP,1964,False,227,lCd,0.171502,DP,0.11558,RI,1,Junctions
AT4G10500.1.modif|994|1071,AT4G10500.1.modif,994,1071,9,GT_AG,8.4,1.0,9.3,PASS,1562,True,77,lCd,0.0564972,DP,0.0492958,RI,1,Junctions
AT4G11450.1.modif|2586|2659,AT4G11450.1.modif,2586,2659,99,GT_AG,83.4,1.0,94.9,PASS,3588,True,73,lCd,0.00560852,DP,0.0203456,RI,1,Junctions
AT4G14368.3|3279|3320,AT4G14368.3,3279,3320,1,CT_AC,9.9,6.285714285714286,10.1,RDP,3607,False,41,lCd,0.314286,DP,0.0113668,RI,1,Junctions
AT4G14368.3.modif|3255|3335,AT4G14368.3.modif,3255,3335,10,GT_AG,9.2,0.024691358024691357,10.6,PASS,3798,True,80,lCd,0.00124704,DP,0.0210637,RI,1,Junctions
AT4G14368.3.modif|3470|3511,AT4G14368.3.modif,3470,3511,1,CT_AC,12.1,6.714285714285714,12.1,RDP,3798,False,41,lCd,0.27745,DP,0.0107952,RI,1,Junctions
AT4G14650.1|310|423,AT4G14650.1,310,423,3,CT_AC,69.6,81.74561403508773,92.9,RDP,2270,False,113,lCd,0.50305,DP,0.0497797,RI,1,Junctions
AT4G14650.1|971|1055,AT4G14650.1,971,1055,1,CT_AC,108.9,123.21176470588236,129.3,RDP,2270,False,84,lCd,0.517262,DP,0.0370044,RI,1,Junctions
AT4G16860.1.modif|2200|2610,AT4G16860.1.modif,2200,2610,1,CT_AC,40.1,26.62043795620438,33.5,RDP,3799,False,410,lCd,0.361691,DP,0.107923,RI,1,Junctions
AT4G17140.2.modif|1479|1742,AT4G17140.2.modif,1479,1742,36,GT_AG,29.8,1.0,36.3,PASS,13463,True,263,lCd,0.0151286,DP,0.019535,RI,1,Junctions
AT4G23630.2.modif|204|401,AT4G23630.2.modif,204,401,73,GT_AG,56.4,1.0,66.2,PASS,2724,True,197,lCd,0.00815661,DP,0.0723201,RI,1,Junctions
AT4G23630.2.modif|1962|2054,AT4G23630.2.modif,1962,2054,135,GT_AG,117.1,1.0,132.0,PASS,2724,True,92,lCd,0.00401445,DP,0.0337739,RI,1,Junctions
AT4G24620.1.modif|1324|1477,AT4G24620.1.modif,1324,1477,60,GT_AG,63.1,1.0,74.2,PASS,2696,True,153,lCd,0.00728332,DP,0.0567507,RI,1,Junctions
AT4G24740.3.modif|1089|1266,AT4G24740.3.modif,1089,1266,13,GT_AG,10.9,1.0,15.1,PASS,2636,True,177,lCd,0.0384615,DP,0.0671472,RI,1,Junctions
AT4G25400.2|711|737,AT4G25400.2,711,737,2,CT_AC,2292.0,2340.4444444444443,2355.7,RDP,1009,False,26,lCd,0.50357,DP,0.0257681,RI,1,Junctions
AT4G25400.2|761|813,AT4G25400.2,761,813,3,CT_AC,2407.3,2507.509433962264,2593.2,RDP,1009,False,52,lCd,0.501452,DP,0.0515362,RI,1,Junctions
AT4G25400.2|785|837,AT4G25400.2,785,837,4,CT_AC,2493.8,2584.566037735849,2709.0,RDP,1009,False,52,lCd,0.496764,DP,0.0515362,RI,1,Junctions
AT4G28260.1.modif|2013|2088,AT4G28260.1.modif,2013,2088,233,GT_AG,192.8,3.0,219.6,PASS,2589,True,75,lCd,0.00727449,DP,0.0289687,RI,1,Junctions
AT4G30710.4.modif|3272|3357,AT4G30710.4.modif,3272,3357,9,GT_AG,8.1,0.023255813953488372,9.7,PASS,4432,True,85,lCd,0.00130651,DP,0.0191787,RI,1,Junctions
AT4G30990.1.modif|248|413,AT4G30990.1.modif,248,413,31,GT_AG,25.9,2.0,29.3,PASS,8382,True,165,lCd,0.0362319,DP,0.019685,RI,1,Junctions
AT4G32980.2.modif|1704|1795,AT4G32980.2.modif,1704,1795,111,GT_AG,95.8,2.0,104.3,PASS,2914,True,91,lCd,0.009995,DP,0.0312286,RI,1,Junctions
AT4G37180.3|888|980,AT4G37180.3,888,980,2854,GT_AG,2447.9,16.537634408602152,2778.9,PASS,1531,False,92,lCd,0.00316401,DP,0.0600914,RI,1,Junctions
AT4G37180.2.modif|493|582,AT4G37180.2.modif,493,582,3145,GT_AG,2728.0,16.0,3099.9,PASS,1663,True,89,lCd,0.00274541,DP,0.0535177,RI,1,Junctions
AT4G38120.1.modif|2739|2810,AT4G38120.1.modif,2739,2810,11,GT_AG,10.0,1.0,10.1,PASS,4139,True,71,lCd,0.0497512,DP,0.0171539,RI,1,Junctions
AT4G39720.1.modif|1823|1940,AT4G39720.1.modif,1823,1940,111,GT_AG,97.1,0.025423728813559324,112.0,PASS,2328,True,117,lCd,0.000121586,DP,0.0502577,RI,1,Junctions

AT1G04930.1.modif|1456|1545,AT1G04930.1.modif,1456,1545,19,GT_AG,37.4,0.022222222222222223,42.9,PASS,2175,True,89,lCd,0.00027674,DP,0.0409195,RI,1,Junctions
AT1G09480.2.modif|430|766,AT1G09480.2.modif,430,766,399,GT_AG,333.4,3.0,376.1,PASS,1634,True,336,lCd,0.00422833,DP,0.20563,RI,1,Junctions
AT1G09480.2.modif|1309|1399,AT1G09480.2.modif,1309,1399,377,GT_AG,310.1,5.021978021978022,362.4,PASS,1634,True,90,lCd,0.00746763,DP,0.0550796,RI,1,Junctions
AT1G13280.1|344|1166,AT1G13280.1,344,1166,1,CT_AC,10.1,12.164034021871203,11.8,RDP,1343,False,822,lCd,0.555435,DP,0.612063,RI,1,Junctions
AT1G13380.1.modif|840|1025,AT1G13380.1.modif,840,1025,384,GT_AG,313.4,2.0,356.1,PASS,1508,True,185,lCd,0.0029873,DP,0.122679,RI,1,Junctions
AT1G13790.2.modif|2338|2549,AT1G13790.2.modif,2338,2549,64,GT_AG,52.3,1.0,60.1,PASS,3192,True,211,lCd,0.0088968,DP,0.0661028,RI,1,Junctions
AT1G18660.4|1770|1860,AT1G18660.4,1770,1860,50,GT_AG,82.4,45.13186813186813,90.8,RDP,2235,False,90,lCd,0.260577,DP,0.0402685,RI,1,Junctions
AT1G18660.1.modif|1421|1580,AT1G18660.1.modif,1421,1580,135,GT_AG,110.3,1.0,130.9,PASS,2318,True,159,lCd,0.00414594,DP,0.0685936,RI,1,Junctions
